pcode,age,gender,ses,gradelevel,ov1,ov2,ov3,ov4,ov5,ov6,ov7,ov8,ov
HVS11001,15,female,middle,2,4,2.0,1,2.0,3.0,1,1.0,1.0,15.0
HVS11002,15,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS11003,16,female,middle,2,2,2.0,1,1.0,1.0,1,1.0,1.0,10.0
HVS11004,15,female,middle,2,2,2.0,1,1.0,1.0,1,1.0,1.0,10.0
HVS11005,15,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS11006,16,female,low,2,1,1.0,1,1.0,1.0,2,2.0,1.0,10.0
HVS11007,16,female,middle,2,1,2.0,1,3.0,1.0,3,1.0,1.0,13.0
HVS11008,16,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS11009,16,female,middle,2,2,2.0,1,1.0,2.0,1,1.0,2.0,12.0
HVS11010,16,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS11011,16,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS11012,15,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS11013,15,female,middle,2,2,3.0,2,1.0,1.0,1,1.0,2.0,13.0
HVS11014,15,female,middle,2,2,2.0,1,1.0,1.0,1,2.0,1.0,11.0
HVS11015,16,female,middle,2,3,3.0,1,1.0,2.0,1,1.0,1.0,13.0
HVS11016,15,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS11017,16,female,middle,2,1,2.0,1,1.0,1.0,1,1.0,2.0,10.0
HVS11018,15,male,middle,2,1,1.0,1,1.0,2.0,1,1.0,1.0,9.0
HVS11019,15,male,middle,2,1,1.0,1,1.0,2.0,2,1.0,2.0,11.0
HVS11020,16,male,middle,2,5,1.0,1,1.0,1.0,1,1.0,1.0,12.0
HVS11021,16,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS11022,15,male,middle,2,3,1.0,2,3.0,1.0,1,1.0,2.0,14.0
HVS11023,15,male,middle,2,5,1.0,1,1.0,2.0,1,1.0,1.0,13.0
HVS12001,17,male,middle,2,3,1.0,6,1.0,1.0,2,1.0,3.0,18.0
HVS12002,17,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS12003,15,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS12004,16,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS12005,16,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,2.0,9.0
HVS12006,17,female,middle,2,2,1.0,1,1.0,1.0,1,1.0,1.0,9.0
HVS12007,17,female,middle,2,1,1.0,1,1.0,1.0,2,1.0,1.0,9.0
HVS12008,17,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS12009,17,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS12010,17,male,low,2,5,4.0,5,1.0,4.0,5,1.0,1.0,26.0
HVS12011,17,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS12012,17,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS12013,16,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS12014,17,male,middle,2,5,2.0,5,4.0,5.0,4,5.0,4.0,34.0
HVS12015,17,male,middle,2,5,6.0,5,4.0,5.0,3,4.0,3.0,35.0
